brand,model,price,fuel,transmission,km,year,location
Mercedes-Benz,GLA 180 ,27500.0,Gasolina,Manual,23019.0,2019,Sevilla
Bentley,Continental GTC V8 C V8 CONVERTIBLE 20MY,299000.0,Gasolina,Automático,29.0,2020,Madrid
Mercedes-Benz,CLA 220 D DCT Shooting Brake,47600.0,Diésel,Automático,,2021,Sevilla
Bentley,Bentayga 4.0 V8 4WD AUTO,216750.0,Gasolina,Automático,22276.0,2019,Madrid
Mercedes-Benz,CLA 200 Shooting Brake Shooting Brake,39700.0,Gasolina,Automático,,2021,Sevilla
Ford,Focus Focus 1.0 Ecoboost Auto-S&S ST-Line 125,13200.0,Gasolina,Manual,41951.0,2017,Madrid
Bentley,Bentayga 4.0 V8 4WD AUTO,259900.0,Gasolina,Automático,2900.0,2020,Madrid
Mercedes-Benz,B 250 e,41500.0,Eléctrico,Automático,5500.0,2020,Sevilla
Mercedes-Benz,A 200 ,33500.0,Gasolina,Automático,3812.0,2019,Sevilla
Mercedes-Benz,A 200 ,31800.0,Gasolina,Automático,9536.0,2019,Sevilla
Mercedes-Benz,A 250 e,38500.0,Eléctrico,Automático,3500.0,2020,Sevilla
Mercedes-Benz,A 200 d,35900.0,Diésel,Automático,5500.0,2020,Sevilla
Mazda,CX-3 CX-3 (2021) SKYACTIV-G 2.0 89 KW  (121 CV) AT 2WD ZENITH,22900.0,Gasolina,Automático,1100.0,2020,Navarra
Mazda,CX-5 CX-5 (2020) SKYACTIV-G 2.0 121 KW (165 CV) 2WD AT  EVOLUTION,27900.0,Gasolina,Automático,1380.0,2020,Navarra
Mazda,CX-30 NUEVO CX-30 SKYACTIV-G 2.0 90 KW (122 CV)  2WD MT  ZENITH JAN,24900.0,Híbrido,Manual,4575.0,2020,Navarra
